name;country;source1;source2;source3;source4;iso3n;eu28
afganistan;afganistan;police;border;pesel;udsc;4;NA
afganistan;afgańskie;NA;NA;zus;NA;4;NA
albania;albania;police;border;pesel;udsc;8;NA
albania;albańskie;NA;NA;zus;NA;8;NA
algieria;algieria;police;border;pesel;udsc;12;NA
algieria;algierskie;NA;NA;zus;NA;12;NA
stany zjednoczone;amerykańskie;NA;NA;zus;NA;840;NA
andora;andorskie;NA;NA;zus;NA;20;NA
angola;angola;police;border;pesel;udsc;24;NA
angola;angolskie;NA;NA;zus;NA;24;NA
arabia saudyjska;arabia saudyjska;police;border;pesel;udsc;682;NA
argentyna;argentyna;police;border;pesel;udsc;32;NA
argentyna;argentyńskie;NA;NA;zus;NA;32;NA
armenia;armenia;police;border;pesel;udsc;51;NA
armenia;armeńskie;NA;NA;zus;NA;51;NA
aruba;arubańskie;NA;NA;zus;NA;533;NA
australia;australia;police;border;pesel;udsc;36;NA
australia;australijskie;NA;NA;zus;NA;36;NA
austria;austria;police;NA;pesel;udsc;40;NA
austria;austriackie;NA;NA;zus;NA;40;NA
azerbejdżan;azerbejdżan;police;border;pesel;udsc;31;NA
azerbejdżan;azerbejdżańskie;NA;NA;zus;NA;31;NA
bahamy;bahamy;NA;NA;pesel;NA;44;NA
bahrajn;bahrajn;police;border;pesel;NA;48;NA
bangladesz;bangladeskie;NA;NA;zus;NA;50;NA
bangladesz;bangladesz;police;border;pesel;udsc;50;NA
barbados;barbados;NA;NA;pesel;udsc;52;NA
barbados;barbadoskie;NA;NA;zus;NA;52;NA
belgia;belgia;police;border;pesel;NA;56;NA
belgia;belgijskie;NA;NA;zus;NA;56;NA
belize;belize;NA;NA;pesel;NA;84;NA
benin;benin;NA;border;pesel;NA;204;NA
benin;benin (dahomej);police;NA;NA;NA;204;NA
benin;benińskie;NA;NA;zus;NA;204;NA
niemcy;berlin zachodni;NA;NA;pesel;NA;276;EU
kraj nieustalony;bezpaństwowcy;NA;NA;pesel;NA;999;NA
kraj nieustalony;bezpaństwowiec;NA;border;NA;NA;999;NA
bhutan;bhutan;NA;NA;pesel;NA;64;NA
białoruś;białoruś;police;border;pesel;udsc;112;NA
białoruś;białoruskie;NA;NA;zus;NA;112;NA
mjanma (birma);birmańskie;NA;NA;zus;NA;104;NA
boliwia;boliwia;police;border;pesel;udsc;68;NA
boliwia;boliwijskie;NA;NA;zus;NA;68;NA
bośnia i hercegowina;bośnia i hercegowina;police;border;pesel;udsc;70;NA
bośnia i hercegowina;bośniacko-hercegowińskie;NA;NA;zus;NA;70;NA
botswana;botswana;NA;NA;pesel;NA;72;NA
botswana;botswańskie;NA;NA;zus;NA;72;NA
brazylia;brazylia;police;border;pesel;udsc;76;NA
brazylia;brazylijskie;NA;NA;zus;NA;76;NA
brunei;brunei;NA;NA;pesel;NA;96;NA
brytyjskie terytorium oceanu indyjskiego;bryt.teryt.oceanu indyjskiego;NA;NA;zus;NA;998;NA
wielka brytania;brytyjskie;NA;NA;zus;NA;826;EU
brytyjskie terytorium oceanu indyjskiego;brytyjskie terytorium oceanu indyjskiego;NA;border;NA;NA;998;NA
brytyjskie wyspy dziewicze;brytyjskie wyspy dziewicze;NA;NA;zus;NA;92;NA
bułgaria;bułgaria;police;border;pesel;NA;100;EU
bułgaria;bułgarskie;NA;NA;zus;NA;100;EU
burkina faso;burkina faso;NA;border;pesel;NA;854;NA
burkina faso;burkińskie;NA;NA;zus;NA;854;NA
burundi;burundi;NA;NA;pesel;NA;108;NA
burundi;burundyjskie;NA;NA;zus;NA;108;NA
chile;chile;police;border;pesel;udsc;152;NA
chile;chilijskie;NA;NA;zus;NA;152;NA
chiny;chińskie;NA;NA;zus;NA;156;NA
chiny;chiny;police;border;pesel;udsc;156;NA
chorwacja;chorwacja;police;border;pesel;NA;191;EU
chorwacja;chorwackie;NA;NA;zus;NA;191;EU
cypr;cypr;police;border;pesel;NA;196;EU
cypr;cypryjskie;NA;NA;zus;NA;196;EU
czad;czad;NA;NA;pesel;udsc;148;NA
czad;czadyjskie;NA;NA;zus;NA;148;NA
czarnogóra;czarnogóra;police;border;pesel;udsc;499;NA
czarnogóra;czarnogórskie;NA;NA;zus;NA;499;NA
kraj nieustalony;czechosłowacja;NA;NA;pesel;NA;999;NA
czechy;czechy;police;NA;pesel;NA;203;EU
rosja;czeczeńskie;NA;NA;zus;NA;643;NA
czechy;czeskie;NA;NA;zus;NA;203;EU
dania;dania;police;NA;pesel;NA;208;EU
demokratyczna republika konga;demokratyczna republika konga;NA;border;pesel;udsc;180;NA
